,country,year,arousal_md_av,arousal_md_num1,arousal_md_num10,arousal_md_num2,arousal_md_num3,arousal_md_num4,arousal_md_num5,arousal_md_num6,arousal_md_num7,arousal_md_num8,arousal_md_num9,arousal_th_av,arousal_th_num1,arousal_th_num10,arousal_th_num2,arousal_th_num3,arousal_th_num4,arousal_th_num5,arousal_th_num6,arousal_th_num7,arousal_th_num8,arousal_th_num9,valence_md_av,valence_md_num1,valence_md_num10,valence_md_num2,valence_md_num3,valence_md_num4,valence_md_num5,valence_md_num6,valence_md_num7,valence_md_num8,valence_md_num9,valence_th_av,valence_th_num1,valence_th_num10,valence_th_num2,valence_th_num3,valence_th_num4,valence_th_num5,valence_th_num6,valence_th_num7,valence_th_num8,valence_th_num9,regional_climate,suicide_uk,suicide_rate,wcovered_valence_old,totalcount,yearvalence_old,variance_valence,count_yearvalence_pmin,yearvalence_pmin,count_yearvalence_top,yearvalence_top,count_yearvalence_p5,yearvalence_p5,yeararousal,pcgdpmaddison,popmaddison000,satislfe,std_satislfe,rgdpch,genderequalinheritance,historicalgenderequalityindex,sexratio,incomeinequality,inflation,labourersrealwage,politicalcompetition,polity2index,armedconflictsintertiol,homiciderates,armedconflictsinterl,averageyearsofeducation,educatiolinequalityginicoefficie,latentdemocracyvariable,politicalparticipation,heightgini,height,infantmortality,lifeexpectancyatbirthtotal,numeracytotal,totalgrosscentralgovernmentdebta,totalpopulation,birth,death,marriage,infantdeath,unemployment,moneysupply_m1,moneysupply_m2,total_central_govenment_expendit,total_central_govenment_revenue,primarypupil,primaryteacher,secondarypupil,secondaryteacher,totalteacher,wageindustry,wageagriculture,urbanpopulation,match_count,val_score,match_count_d_max_diff_top_25_an,val_score_d_max_diff_top_25_anew,match_count_c_max_diff_top_25_an,val_score_c_max_diff_top_25_anew,match_count_d_max_diff_top_50_an,val_score_d_max_diff_top_50_anew,match_count_c_max_diff_top_50_an,val_score_c_max_diff_top_50_anew,match_count_d_max_diff_mean_anew,val_score_d_max_diff_mean_anew,match_count_c_max_diff_mean_anew,val_score_c_max_diff_mean_anew,match_count_d_mean_diff_top_25_a,val_score_d_mean_diff_top_25_ane,match_count_c_mean_diff_top_25_a,val_score_c_mean_diff_top_25_ane,match_count_d_mean_diff_top_50_a,val_score_d_mean_diff_top_50_ane,match_count_c_mean_diff_top_50_a,val_score_c_mean_diff_top_50_ane,match_count_d_mean_diff_mean_ane,val_score_d_mean_diff_mean_anew,match_count_c_mean_diff_mean_ane,val_score_c_mean_diff_mean_anew,val_score_d_max_diff_top_25_15,match_count_d_max_diff_top_25_30,val_score_d_max_diff_top_25_30,match_count_c_max_diff_top_25_15,val_score_c_max_diff_top_25_15,match_count_c_max_diff_top_25_30,val_score_c_max_diff_top_25_30,match_count_d_max_diff_top_50_15,val_score_d_max_diff_top_50_15,match_count_d_max_diff_top_50_30,val_score_d_max_diff_top_50_30,match_count_c_max_diff_top_50_15,val_score_c_max_diff_top_50_15,match_count_c_max_diff_top_50_30,val_score_c_max_diff_top_50_30,match_count_d_max_diff_mean_15,val_score_d_max_diff_mean_15,match_count_d_max_diff_mean_30,val_score_d_max_diff_mean_30,match_count_c_max_diff_mean_15,val_score_c_max_diff_mean_15,match_count_c_max_diff_mean_30,val_score_c_max_diff_mean_30,match_count_d_mean_diff_top_25_1,val_score_d_mean_diff_top_25_15,match_count_d_mean_diff_top_25_3,val_score_d_mean_diff_top_25_30,match_count_c_mean_diff_top_25_1,val_score_c_mean_diff_top_25_15,match_count_c_mean_diff_top_25_3,val_score_c_mean_diff_top_25_30,match_count_d_mean_diff_top_50_1,val_score_d_mean_diff_top_50_15,match_count_d_mean_diff_top_50_3,val_score_d_mean_diff_top_50_30,match_count_c_mean_diff_top_50_1,val_score_c_mean_diff_top_50_15,match_count_c_mean_diff_top_50_3,val_score_c_mean_diff_top_50_30,match_count_d_mean_diff_mean_15,val_score_d_mean_diff_mean_15,match_count_d_mean_diff_mean_30,val_score_d_mean_diff_mean_30,match_count_c_mean_diff_mean_15,val_score_c_mean_diff_mean_15,match_count_c_mean_diff_mean_30,val_score_c_mean_diff_mean_30,val_score_coha,val_score_fmp,match_count_fmp,total_count_fmp,match_count_sentic_ples,pleasantness_sentic,match_count_afinn,valence_afinn,match_count_sentic_pol,polarity_sentic
0,uk,1973,5.093323584844615,4.714072594993594,4.872050430446985,5.037948262994362,3.8049643798339527,4.852395929702725,3.7525453246849714,6.122152134242043,6.064087561521567,5.117924366940662,6.59509486308529,5.121754824155857,4.789895080705092,5.166057646038913,5.090438555658412,4.430568273674113,5.019029417801387,3.9437655837713255,6.340690778854617,5.6288373113862615,4.615037909838836,6.193227683829608,5.220867755569726,4.989432771900226,5.216900651225563,5.387155145766448,4.755214082000181,4.9984590163571125,4.497597508265621,6.279682396936657,5.350769862234587,5.033481003245648,5.699985117765218,5.1905629748362,5.155709686691528,5.448296174772935,5.680252347650077,5.0217002311399614,4.852700475764268,4.7289826317370345,6.714702375217447,5.1077267328256974,4.7583917181725965,4.437167374390456,-0.01,3816.0,6.951233,0.12110415,1373822172.0,5.6046643,1.2484477,14607645.0,5.6087236,69984886.0,5.663628,72221077.0,5.64618,3.9878454,18795.0,56210.0,1.85,0.740351,15631.78,,,,,9.19262,71.1759,53.6,10.0,0.0,,1.0,,15.9972,1.35641,51.15,,,,72.38,,49.83,,13.7,11.9,16.2,17.0,2.6,13.3,32.84,20.0,18226000.0,5149.0,209.0,3551.0,204.0,413.0,70.0,64.0,,191946497.0,5.6012473,136068105.0,5.7503495,114231790.0,5.768883,170707497.0,5.6558948,159712995.0,5.678365,164749527.0,5.6714993,152427950.0,5.7032194,114983546.0,5.764066,96120460.0,5.789932,157364271.0,5.681235,140149527.0,5.71399,155146528.0,5.688204,145505713.0,5.7034154,5.675386,136068105.0,5.658894,114231790.0,5.6973176,114231790.0,5.6775713,170702976.0,5.625659,170702976.0,5.613663,159708474.0,5.6370106,159708474.0,5.625195,164745006.0,5.634878,164745006.0,5.622819,152427950.0,5.649802,152427950.0,5.63586,114983546.0,5.678794,114983546.0,5.6594615,96120460.0,5.709491,96120460.0,5.687358,157360080.0,5.638611,157360080.0,5.6268787,140149527.0,5.65746,140149527.0,5.642813,155142337.0,5.6411753,155142337.0,5.629294,145505713.0,5.6501126,145505713.0,5.63601,,,,,345827923.0,0.31098148,28697429.0,0.20758972,345827923.0,0.35511857
1,uk,1974,5.151823552396473,5.291440957268267,5.416300125102351,5.487645249433122,5.5209031553866135,5.578666263005502,4.201298861175128,3.869629378381719,5.3656741001366735,4.805046393415516,6.063931626934915,5.235647005430708,5.32208827885147,5.476752853734451,5.673053774101335,5.554644650471637,5.748353751254919,4.368400684218588,4.225271862071264,5.397581487165397,4.634451324361131,6.315961220842718,5.169232560479823,5.3963026350604535,5.432331108530186,5.257278444427813,5.787925553874199,5.912842135327558,4.677162219292028,4.0626690403697285,5.256843624401087,5.13845286334651,4.538199129251608,5.347011136363302,5.289760835350421,5.548284874803051,5.611082253182489,5.870859662929634,6.15064527889056,4.8776014492621895,4.619859054047116,5.175280872164977,4.867010878012318,5.738452724901503,0.3,3897.0,7.0541,0.12050545,1192961949.0,5.5957365,1.2487825,12743624.0,5.6002197,61018760.0,5.653337,62940791.0,5.6360517,3.9870164,18535.0,56224.0,,,15474.72,,,,,15.9466,55.8752,60.7,10.0,0.0,,1.0,,15.8354,1.33886,52.19,,,,72.65,,48.28,,12.9,11.8,15.5,16.0,2.5,14.74,37.11,26.8,23570000.0,5100.0,213.0,3619.0,213.0,426.0,82.0,80.0,,167038963.0,5.5955462,117112877.0,5.749193,97755348.0,5.7684827,147675759.0,5.652607,137724683.0,5.6763883,142407473.0,5.668521,131229175.0,5.7023067,99146878.0,5.7597556,81958644.0,5.7893167,136333950.0,5.6765356,120296008.0,5.712765,134335081.0,5.68355,125021523.0,5.7024245,5.6736016,117112877.0,5.6685247,97755348.0,5.6954603,97755348.0,5.6902676,147671865.0,5.6223063,147671865.0,5.619909,137720789.0,5.634203,137720789.0,5.6331353,142403579.0,5.631425,142403579.0,5.630087,131229175.0,5.6475506,131229175.0,5.645379,99146878.0,5.6748023,99146878.0,5.6681404,81958644.0,5.7108617,81958644.0,5.700695,136330427.0,5.6333065,136330427.0,5.631959,120296008.0,5.655428,120296008.0,5.6536994,134331558.0,5.6360073,134331558.0,5.634567,125021523.0,5.6474757,125021523.0,5.645807,,,,,300122815.0,0.31052256,24640197.0,0.21151385,300122815.0,0.35549676
2,uk,1975,5.045912156329399,6.105166481698313,6.394499860171497,4.6953695250691405,3.893959942270321,,4.9697970014620525,5.526324910115287,4.3506826878954366,4.740259910438966,4.891530622086485,5.071917251456028,5.711562685973997,6.189887043664442,4.355420287738685,3.9689821186902057,,4.9842857887290215,5.824441846323353,4.772600572835687,5.183815927924436,4.864088121340225,4.991566712102058,5.738746361084551,5.341119816244063,5.079426949218669,4.410230169789578,,4.675818779139654,5.603290738311016,4.6494941877823805,4.7650519939728815,4.826244062738892,4.874643461296177,5.618234999403319,5.547973594783884,4.5601543729831695,4.690320911516348,,4.722089312829769,5.2244044214833405,4.399104717307128,4.6337073246821125,4.675222478986349,0.25,3689.0,6.728405,0.12145274,1341335062.0,5.5999846,1.239419,14395676.0,5.5984526,68973336.0,5.659585,71161722.0,5.6424155,3.9842749,18517.0,56215.0,1.89,0.761936,15325.09,,,,,24.3027,55.6598,60.7,10.0,0.0,,1.0,,15.4385,1.37658,52.19,,,,72.64,,43.83,,12.2,11.7,15.4,16.0,3.9,17.48,40.1,36.0,29417000.0,5048.0,214.0,3712.0,220.0,434.0,100.0,100.0,,188569469.0,5.5983753,131910606.0,5.750919,109705044.0,5.7700286,166555292.0,5.6557236,155208712.0,5.6784735,160583707.0,5.6713195,147854328.0,5.7040977,111686874.0,5.7604723,91777452.0,5.7908525,153640656.0,5.678123,135238386.0,5.7145944,151415735.0,5.6849165,140644839.0,5.704576,5.672421,131910606.0,5.6611557,109705044.0,5.6946106,109705044.0,5.6821575,166550968.0,5.6224017,166550968.0,5.613498,155204388.0,5.6334896,155204388.0,5.626484,160579383.0,5.631467,160579383.0,5.623431,147854328.0,5.6459055,147854328.0,5.6379056,111686874.0,5.6752167,111686874.0,5.6603894,91777452.0,5.707349,91777452.0,5.6958156,153637013.0,5.6340375,153637013.0,5.6259284,135238386.0,5.6566443,135238386.0,5.6460667,151412092.0,5.636533,151412092.0,5.6288652,140644839.0,5.6486044,140644839.0,5.639339,,,,,338558479.0,0.31107295,27728570.0,0.22374234,338558479.0,0.35657373
3,uk,1976,5.5750993923602685,5.9595843239333925,6.299832095738026,5.561743945525645,6.242082064423823,4.160596399914117,6.398115376194965,4.9134296331439495,5.268840557461802,5.367213597294667,4.912573257908744,5.742863878619793,6.006578500509941,6.273682143480919,5.731587770190576,6.5043359833688,5.0963081302999536,6.446425611778281,5.10844546320258,5.412401652464789,5.187183839612898,4.900217586540178,5.300730239846323,5.008710051140151,6.594192899445872,5.494089743849703,5.475776772102712,4.585369695531936,5.851468028916964,5.152760175338753,4.118030436127296,5.526614468559719,5.025243595193726,5.415938588364856,5.29883425502268,6.3032846284645245,5.9656340305851945,5.7736262987103935,4.858974724994488,5.866341475730829,5.4638175135749085,4.552487201143637,5.106321021893279,4.612377023183089,-0.09,3809.0,6.939591,0.12061242,1350695617.0,5.5922265,1.2386527,14536553.0,5.5931373,69299399.0,5.648596,71483225.0,5.6317663,3.9838676,18935.0,56206.0,1.93,0.760838,15823.36,,,,,16.713,73.8977,60.7,10.0,0.0,,1.0,,14.9431,1.38935,52.19,,,,73.12,,45.19,,11.8,12.1,14.5,14.0,5.4,19.47,44.74,39.4,33778000.0,4943.0,211.0,3793.0,225.0,436.0,114.0,113.0,,188820623.0,5.590594,131647737.0,5.7457056,109500040.0,5.7650228,166463474.0,5.6485906,155027686.0,5.672742,160465762.0,5.664407,147637648.0,5.698409,111453813.0,5.75448,91476327.0,5.7850366,153715560.0,5.6712923,134890793.0,5.709239,151431358.0,5.6784315,140273254.0,5.6990566,5.670076,131647737.0,5.6544147,109500040.0,5.6945095,109500040.0,5.677076,166458450.0,5.617589,166458450.0,5.6082106,155022662.0,5.630246,155022662.0,5.621125,160460738.0,5.6277766,160460738.0,5.618107,147637648.0,5.643499,147637648.0,5.6325736,111453813.0,5.6692967,111453813.0,5.6533403,91476327.0,5.710876,91476327.0,5.6864843,153711408.0,5.6294127,153711408.0,5.6200204,134890793.0,5.6532373,134890793.0,5.6401434,151427206.0,5.631662,151427206.0,5.6221833,140273254.0,5.6457186,140273254.0,5.633618,,,,,339083926.0,0.310101,27499178.0,0.22422874,339083926.0,0.35597414
4,uk,1977,4.8329789238579295,4.166021396930327,5.926546527013973,4.800809546758893,3.778831086800384,5.3222740281007,5.817767415978046,3.2562222229693902,4.044130529875641,5.607327993461424,5.1205633864477385,5.015722796119242,4.5313322966453375,5.740789347089968,4.963874997919608,4.465155551410233,5.379233798520078,5.849428142785222,3.3896508419066524,4.196867038228038,5.721125707660256,5.556259236626199,4.819432050836927,4.084307466575726,5.420696491534931,5.1572206187079255,4.540876707791715,4.939662977976423,5.320567893469415,4.234402091948241,4.276851533008244,5.174231913958626,4.9252718862585185,4.858795740060596,4.534640959094373,5.441149088182598,4.444329173533814,4.854537862042588,4.942702609417697,5.517170020584022,4.5257148949527295,4.397977199944438,4.8365503579922215,5.009278365504363,0.15,3938.0,7.156529,0.12057556,1342132505.0,5.596577,1.2320956,14272386.0,5.5954175,68365112.0,5.656489,70555146.0,5.6400886,3.984864,19355.0,56179.0,1.89,0.747291,15943.89,,,,,15.8316,60.0393,60.7,10.0,0.0,,1.0,,14.4384,1.40667,52.19,,,,73.06,,46.11,,11.5,11.6,14.4,14.0,5.7,23.52,48.99,44.0,38773000.0,4800.0,207.0,4079.0,241.0,448.0,123.0,124.0,,189087947.0,5.5959888,131341106.0,5.7493114,108810681.0,5.76815,166385168.0,5.653957,154743979.0,5.677531,160294043.0,5.6698914,147223291.0,5.7032623,111044012.0,5.759116,90637894.0,5.7879596,153258435.0,5.6773376,134219318.0,5.7136726,150999591.0,5.684429,139709831.0,5.7038813,5.669986,131341106.0,5.6559668,108810681.0,5.693745,108810681.0,5.676759,166380642.0,5.6214733,166380642.0,5.6104803,154739453.0,5.6330533,154739453.0,5.62289,160289517.0,5.630746,160289517.0,5.62011,147223291.0,5.6461153,147223291.0,5.634428,111044012.0,5.671108,111044012.0,5.6560516,90637894.0,5.7070613,90637894.0,5.6878757,153254098.0,5.63313,153254098.0,5.623046,134219318.0,5.655192,134219318.0,5.642087,150995254.0,5.635466,150995254.0,5.6253324,139709831.0,5.64818,139709831.0,5.6355352,,,,,337738944.0,0.3099081,27262680.0,0.20819472,337738944.0,0.3562053
5,uk,1978,5.004013616450816,5.223136746673172,3.221850238310918,5.567680964380758,5.242771420002267,,4.687204870323517,5.878183429337707,5.7384439794788396,4.035445569970972,5.4414053295791955,5.037522458463203,5.587869963986769,3.570922704390515,5.666164963987478,4.646102970280428,,5.359882427490076,4.1120470346302085,5.896644948544616,5.056172625749569,5.441894487109158,5.2758838963315675,5.816368709316263,3.8884456429416834,5.181172037928825,5.584923042275316,,5.059282257561971,5.504428959198584,6.323107163464951,5.176448131946595,4.948779122349922,5.314439622024,6.168672844670383,4.079523814348007,4.9907004201403895,5.486460247566855,,5.119918388609466,4.700281606457851,6.59477939019099,4.9479281815403775,5.7416917046916875,-0.36,4015.0,7.268871,0.12085629,1347313757.0,5.5922003,1.2435527,14335225.0,5.598133,68892205.0,5.6509666,71082192.0,5.634374,3.9848015,20049.0,56167.0,1.84,0.727807,16509.79,,,,,6.57143,59.2752,60.7,10.0,0.0,,1.0,,14.0163,1.41028,52.19,,,,73.16,,47.16,,12.1,11.9,14.9,13.0,5.6,27.36,56.12,51.5,43088000.0,4738.0,206.0,4101.0,245.0,451.0,142.0,141.0,,190322242.0,5.591496,131932059.0,5.749517,109043581.0,5.770009,167208825.0,5.651804,155424643.0,5.6766334,161049067.0,5.6681814,147897028.0,5.7027426,111667072.0,5.7571,90904222.0,5.7906704,154305320.0,5.6746216,134709128.0,5.7137465,152025133.0,5.6817536,140271441.0,5.703476,5.669173,131932059.0,5.649112,109043581.0,5.6932664,109043581.0,5.6702247,167204729.0,5.6180115,167204729.0,5.603745,155420547.0,5.6308365,155420547.0,5.616656,161044971.0,5.62775,161044971.0,5.613615,147897028.0,5.644114,147897028.0,5.6282425,111667072.0,5.6668153,111667072.0,5.645012,90904222.0,5.7087946,90904222.0,5.6792374,154302700.0,5.6290016,154302700.0,5.61533,134709128.0,5.653229,134709128.0,5.635942,152022513.0,5.63168,152022513.0,5.6174216,140271441.0,5.6455784,140271441.0,5.628475,,,,,340842532.0,0.30932233,27736962.0,0.21180871,340842532.0,0.3557085
6,uk,1979,5.356719751837376,3.499010032413504,5.450365525587602,5.476345343313255,5.6685413082575,5.313531155223915,5.772685510423619,5.476564215963143,6.545824643452147,4.845552525170938,5.518777258568139,5.424489295200607,3.656094775360688,5.720414703677753,5.320753935821925,5.138467569089964,5.187297714910286,5.830792538213989,5.6813838587936365,6.4441287814169845,5.7895243231383535,5.4760347515825005,5.361290047202919,3.9390567912893397,5.394526755193584,5.419070372538577,5.527433897442463,4.947778094874462,6.312857359402282,5.622672151192586,5.762265044107562,5.275396475910844,5.411843530077497,5.423201886636828,3.7578499402132435,6.000046609107391,5.789176983825638,5.419939488068566,4.9928494424619325,6.4920070036240345,5.3011527236478,6.050643650546888,5.440167258682108,4.988185766190677,-0.04,4186.0,7.647055,0.12162295,1381846990.0,5.5920076,1.2393377,14971362.0,5.59216,71448691.0,5.652895,73739629.0,5.636578,3.9851298,20580.0,56228.0,1.91,0.709016,16947.09,,,,,14.7941,62.8496,56.1,10.0,0.0,,1.0,,13.7344,1.35847,55.49,,,,73.59,,44.01,,12.9,12.0,14.9,13.0,3.9,29.86,63.13,61.0,54331000.0,4569.0,202.0,4094.0,247.0,449.0,165.0,165.0,,196096630.0,5.590648,135146166.0,5.7487645,111114061.0,5.769213,171760208.0,5.651022,159289732.0,5.6757274,165435460.0,5.6668806,151435719.0,5.701802,114327983.0,5.755176,92157654.0,5.789164,158382871.0,5.673009,137343445.0,5.714296,155969406.0,5.680163,143071911.0,5.7035236,5.67758,135146166.0,5.6569157,111114061.0,5.701696,111114061.0,5.6791844,171756173.0,5.626185,171756173.0,5.611374,159285697.0,5.6389174,159285697.0,5.6236954,165431425.0,5.6355076,165431425.0,5.6204896,151435719.0,5.65163,151435719.0,5.635333,114327983.0,5.6768584,114327983.0,5.6543107,92157654.0,5.712989,92157654.0,5.688059,158377850.0,5.637015,158377850.0,5.622003,137343445.0,5.6623845,137343445.0,5.64391,155964385.0,5.639834,155964385.0,5.624364,143071911.0,5.654917,143071911.0,5.6369667,,,,,349678462.0,0.30845112,28429147.0,0.20942271,349678462.0,0.35559446
7,uk,1980,5.496944375676322,6.276017757103689,6.206366916601742,3.883271387723034,5.400143980561359,5.4901219160917485,4.790264780307469,6.408459149966819,6.199564253768795,4.19350074219017,5.210218098157902,5.712850464077433,6.314880330918897,6.145766537380087,4.455706108821478,5.4397262489287055,5.844709509120902,5.405911307786868,6.225519249287027,6.206318619831547,4.942177817607515,5.6351201258817145,5.477957090030474,6.472091427826131,6.166454393938558,4.558642708798745,5.734179505895084,4.826494067859616,4.954385822353982,5.80034653191493,5.42051825831735,4.767858518133198,5.7562102233826975,5.408506024977558,6.376559807332178,5.905186172977138,4.290410931667583,5.1141945513078335,4.763307588487669,4.536112352613318,6.035511715148419,6.142938264985642,4.725034184314969,5.568798990769959,-0.27,4318.0,7.817475,0.12139646,1428247768.0,5.5963297,1.2287976,15117259.0,5.596389,72988284.0,5.660547,75354853.0,5.643995,3.9849374,20211.0,56314.0,1.81,0.76039,16648.82,1.0,69.0,0.95,33.9989,16.849,68.1117,56.1,10.0,0.0,,1.0,11.44,13.4469,1.37071,55.49,,176.83,9.8,73.92,,46.101,56314.2,13.2,11.7,14.9,12.0,5.0,31.04,74.79,76.2,66200000.0,4371.0,195.0,4067.0,245.0,440.0,187.0,195.0,11278.0,202312386.0,5.5947013,139593324.0,5.750459,114701800.0,5.768948,177481635.0,5.652648,164634488.0,5.6774077,170914110.0,5.668538,156455567.0,5.7036114,118082274.0,5.757333,95212962.0,5.788502,163412901.0,5.6759768,142126068.0,5.7157264,160953517.0,5.683427,148079830.0,5.7053437,5.6764054,139593324.0,5.656984,114701800.0,5.703445,114701800.0,5.6799316,177477455.0,5.625952,177477455.0,5.6094494,164630308.0,5.6382465,164630308.0,5.6234293,170909930.0,5.6355,170909930.0,5.6193523,156455567.0,5.65163,156455567.0,5.6350837,118082274.0,5.6756797,118082274.0,5.654289,95212962.0,5.7142572,95212962.0,5.6895804,163408657.0,5.6388702,163408657.0,5.623114,142126068.0,5.6631484,142126068.0,5.645023,160949273.0,5.6412954,160949273.0,5.6255913,148079830.0,5.655651,148079830.0,5.6377764,,,,,361342207.0,0.30848512,29049162.0,0.20478284,361342207.0,0.35566473
